INFO  - 2017-01-09 21:26:16.137; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Library/apache-solr-4.4.0/contrib/clustering/lib/hppc-0.4.1.jar' to classloader
INFO  - 2017-01-09 21:26:16.137; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Library/apache-solr-4.4.0/contrib/clustering/lib/jackson-core-asl-1.7.4.jar' to classloader
INFO  - 2017-01-09 21:26:16.137; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Library/apache-solr-4.4.0/contrib/clustering/lib/jackson-mapper-asl-1.7.4.jar' to classloader
INFO  - 2017-01-09 21:26:16.137; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Library/apache-solr-4.4.0/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2017-01-09 21:26:16.138; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Library/apache-solr-4.4.0/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2017-01-09 21:26:16.138; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Library/apache-solr-4.4.0/contrib/clustering/lib/simple-xml-2.6.4.jar' to classloader
INFO  - 2017-01-09 21:26:16.138; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Library/apache-solr-4.4.0/dist/solr-clustering-4.4.0.jar' to classloader
INFO  - 2017-01-09 21:26:16.139; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Library/apache-solr-4.4.0/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2017-01-09 21:26:16.139; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Library/apache-solr-4.4.0/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2017-01-09 21:26:16.139; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Library/apache-solr-4.4.0/dist/solr-langid-4.4.0.jar' to classloader
INFO  - 2017-01-09 21:26:16.140; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Library/apache-solr-4.4.0/contrib/velocity/lib/commons-beanutils-1.7.0.jar' to classloader
INFO  - 2017-01-09 21:26:16.140; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Library/apache-solr-4.4.0/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2017-01-09 21:26:16.140; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Library/apache-solr-4.4.0/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2017-01-09 21:26:16.141; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Library/apache-solr-4.4.0/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2017-01-09 21:26:16.141; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Library/apache-solr-4.4.0/dist/solr-velocity-4.4.0.jar' to classloader
INFO  - 2017-01-09 21:26:16.253; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2017-01-09 21:26:16.257; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: LUCENE_44
INFO  - 2017-01-09 21:26:16.335; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2017-01-09 21:26:16.339; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2017-01-09 21:26:16.397; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2017-01-09 21:26:16.766; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2017-01-09 21:26:16.831; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2017-01-09 21:26:16.837; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2017-01-09 21:26:16.928; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2017-01-09 21:26:16.935; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /Library/apache-solr-4.4.0/example/solr/collection1/, dataDir=/Library/apache-solr-4.4.0/example/solr/collection1/data/
INFO  - 2017-01-09 21:26:16.937; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2017-01-09 21:26:16.940; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2017-01-09 21:26:16.941; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2017-01-09 21:26:16.950; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Library/apache-solr-4.4.0/example/solr/collection1/data
INFO  - 2017-01-09 21:26:16.951; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/Library/apache-solr-4.4.0/example/solr/collection1/data/index/
WARN  - 2017-01-09 21:26:16.951; org.apache.solr.core.SolrCore; [collection1] Solr index directory '/Library/apache-solr-4.4.0/example/solr/collection1/data/index' doesn't exist. Creating new index...
INFO  - 2017-01-09 21:26:16.956; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Library/apache-solr-4.4.0/example/solr/collection1/data/index
INFO  - 2017-01-09 21:26:16.998; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(org.apache.lucene.store.NIOFSDirectory@/Library/apache-solr-4.4.0/example/solr/collection1/data/index lockFactory=org.apache.lucene.store.NativeFSLockFactory@77c443f0; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2017-01-09 21:26:16.998; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2017-01-09 21:26:17.002; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2017-01-09 21:26:17.002; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2017-01-09 21:26:17.003; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2017-01-09 21:26:17.005; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2017-01-09 21:26:17.005; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2017-01-09 21:26:17.069; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2017-01-09 21:26:17.069; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2017-01-09 21:26:17.070; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2017-01-09 21:26:17.071; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
INFO  - 2017-01-09 21:26:17.073; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2017-01-09 21:26:17.074; org.apache.solr.core.RequestHandlers; created /update/json: solr.JsonUpdateRequestHandler
